id,ability,final_result
1,1.61,72.66
5,3.09,16.75
6,1.72,0
13,1.44,75.31
21,4.04,70.72
22,2.11,67.76
30,1.17,20.25
31,1.33,61.03
49,2.19,7.50
58,2.41,57.71
66,3.46,65.46
67,2.52,62.18
75,1.15,33.75
76,2.54,14.50
81,3.02,67.75
86,2.43,45.61
91,1.81,70.80
92,2.15,27.55
97,4.19,45.41
101,1.69,44.85
102,2.70,67.58
113,3.50,60.25
117,1.37,0
120,1.87,9.00
122,2.37,64.09
123,2.04,49.54
127,1.93,52.57
